average,0,1,2,3
0,1,0,-2.8449465006019676e-16,0.32258927886940547
0.1,0.9254112123481921,0.050131776505098896,0.02449356627780249,0.26783190529758555
0.2,0.8539714903340349,0.09641923830143956,0.04966800174210428,0.22061408370438929
0.30000000000000004,0.7856808339575283,0.13886238538902196,0.07525521947425519,0.1805978052638326
0.4,0.7205392432186724,0.17746121776784612,0.10098713255560529,0.14744506114993172
0.5,0.6585467181174671,0.21221573543791206,0.12659565406750473,0.12081784253670276
0.6000000000000001,0.5997032586539125,0.24312593839921975,0.1518126970913036,0.10037814059816172
0.7000000000000001,0.5440088648280086,0.2701918266517692,0.17637017470835192,0.08578794650832477
0.8,0.4914635366397553,0.2934134001955604,0.19999999999999987,0.076709251441208
0.9,0.4420672740891527,0.31279065903059333,0.2224340860475975,0.07280404657082751
1,0.3958200771762007,0.32832360315686804,0.24340434593249496,0.07373432307119934
1.1,0.35272194590089934,0.3400122325743845,0.26264269273604235,0.07916207211633965
1.2000000000000002,0.3127728802632487,0.3478565472831427,0.2798810395395897,0.08874928488026453
1.3,0.27597288026324884,0.3518565472831427,0.2948512994244872,0.10215795253699006
1.4,0.2423219459008994,0.35201223257438446,0.3072853854720848,0.11905006626053231
1.5,0.21182007717620066,0.348323603156868,0.31691521076373275,0.13908761722490742
1.6,0.18446727408915264,0.34079065903059313,0.3234726883807811,0.16193259660413156
1.7000000000000002,0.16026353663975534,0.3294134001955602,0.32668973140457985,0.18724699557222063
1.8,0.13920886482800876,0.31419182665176904,0.3262982529164793,0.21469280530319093
1.9,0.12130325865391278,0.2951259383992194,0.3220301659978294,0.24393201697105849
2,0.1065467181174673,0.2722157354379118,0.31361738372998027,0.27462662174983926
2.1,0.09493924321867253,0.2454612177678459,0.30079181919428205,0.3064386108135496
2.2,0.08648083395752837,0.21486238538902158,0.28328538547208476,0.33902997533620555
2.3000000000000003,0.08117149033403515,0.18041923830143913,0.2608299956447386,0.372062706491823
2.4000000000000004,0.0790112123481923,0.14213177650509823,0.23315756279359345,0.4051987954544182
2.5,0.0800000000000003,0.09999999999999942,0.19999999999999984,0.4381002333980071
