Dist,Trips,Shares,Target,Log Error
0,15895.99711,12.2504,13.96065187,0.1307
1,18439.63886,14.2107,10.08493912,-0.343
2,19413.82463,14.9614,23.5531056,0.4538
3,18013.4962,13.8823,13.8690052,-0.001
4,14473.13049,11.1539,8.554221134,-0.2654
5,11672.17044,8.9953,7.148450695,-0.2298
6,9761.042136,7.5224,6.709446539,-0.1144
7,7159.076197,5.5172,4.332616097,-0.2417
8,5139.999945,3.9612,2.888410731,-0.3158
9,3331.467525,2.5674,3.080971447,0.1823
10,2190.57525,1.6882,2.407008943,0.3547
11,1469.591028,1.1326,0.44646078,-0.9309
12,948.0293597,0.7306,2.214448227,1.1089
13,622.8956945,0.48,0,-0.733969175
14,423.8271148,0.3266,0.385121431,0.1647
15,267.7468251,0.2063,0.109387292,-0.6346
16,181.0444409,0.1395,0.077257573,-0.5911
17,122.7550503,0.0946,0.059086004,-0.4707
18,83.11239302,0.0641,0.040265697,-0.4642
19,59.34703593,0.0457,0.030433258,-0.4074
20,38.10764897,0.0294,0.021098204,-0.3307
21,52.17262743,0.0402,0.027614169,-0.3757
