 HIGH,  MID, LOW,        HBW,        HBO,       HBSH
1,0.5,0,3.903903904,19.61313593,13.96065187
2,1.5,1,5.005005005,7.973410764,10.08493912
3,2.5,2,8.308308308,11.96011615,23.5531056
4,3.5,3,10.01001001,12.95679249,13.8690052
5,4.5,4,10.31031031,8.97008711,8.554221134
6,5.5,5,9.009009009,6.976734419,7.148450695
7,6.5,6,13.01301301,7.509889685,6.709446539
8,7.5,7,9.50950951,4.784046458,4.332616097
9,8.5,8,7.607607608,5.083049362,2.888410731
10,9.5,9,5.805805806,4.983381728,3.080971447
11,10.5,10,4.204204204,4.086373017,2.407008943
12,11.5,11,2.002002002,1.794017422,0.44646078
13,12.5,12,1.901901902,1.893685056,2.214448227
14,13.5,13,3.003003003,0.398670538,0
15,14.5,14,1.901901902,0.697673442,0.385121431
16,15.5,15,0.500500501,0.099667635,0.109387292
17,16.5,16,1.001001001,0.089700871,0.077257573
18,17.5,17,0.3003003,0.079734108,0.059086004
19,18.5,18,0.800800801,0,0.040265697
20,19.5,19,0,0.049833817,0.030433258
21,20.5,20,1.001001001,0,0.021098204
22,21.5,21,0.900900901,0,0.027614169
